9030	183.0	80.3
6797	173.7	57.0
1991	168.9	68.9
5415	188.0	65.7
8508	186.4	80.2
1624	167.5	66.5
1459	155.8	51.0
4443	170.3	93.4
5591	190.7	86.9
3030	175.9	69.9
2601	181.1	68.6
6996	171.2	78.0
8200	184.7	64.4
2991	190.7	83.2
6845	180.2	68.2
2797	176.4	64.4
3313	173.7	48.5
9946	174.9	71.8
4888	158.6	59.2
2265	187.6	83.4
7804	157.7	56.6
9797	186.9	79.6
6965	174.9	63.7
4247	165.2	53.3
1424	148.4	48.0
7997	148.3	58.0
1692	189.8	86.1
6666	167.0	83.1
2879	159.7	53.7
5412	155.0	54.0
7434	173.9	67.4
3862	164.6	65.0
4684	183.3	71.2
8998	151.1	57.7
5365	175.2	57.0
4912	194.7	80.1
3125	167.2	53.1
1766	183.5	74.0
9397	172.0	61.3
9155	187.2	65.4
4442	163.1	91.8
2115	149.1	46.3
6518	159.9	61.3
2020	148.0	83.1
2673	178.9	67.0
3585	177.0	59.0
7341	187.2	81.0
8430	167.2	64.1
6200	153.1	50.9
5368	159.7	61.0
5150	153.8	100.0
9999	154.1	61.0
6967	171.5	59.0
7842	166.9	66.0
2902	171.4	66.6
8977	192.5	74.0
5427	180.3	62.0
3333	191.5	64.9
7033	176.0	73.0
2992	184.0   91.0
4994	149.9	59.9
7623	186.5	68.8
3242	171.5	59.4
4109	164.2	50.2
1850	192.1	81.1
5995	158.7	61.3
5177	170.8	58.0
9929	181.1	61.6
7378	153.4	51.4
3323	159.7	46.4
1022	194.7	72.3
5666	182.5	96.1
4666	164.9	76.0
8156	151.2	49.0
1821	173.1	70.0
7065	190.0	82.2
4441	163.3	82.3
3666	174.1	85.0
1720	154.3	51.0
9979	166.0	65.9
2666	172.3	81.1
2733	177.0	72.2
3236	162.9	50.2
3461	195.8	79.5
6930	179.0	60.0
4444	150.0	68.9
3993	191.1	88.8
5070	159.6	56.4
3401	149.5	46.7
6645	167.3	60.1
8382	168.9	61.3
1666	173.3	83.8
5861	180.0	64.0
4997	155.4	50.0
7765	156.2	57.7
8128	159.4	60.5
6568	164.1	54.0
7721	189.8	72.1
1613	186.3	74.2
1491	181.8	76.3
