54.995	0.03
55	0.004
55.005	0
55.01	0.004
55.015	0.022
55.02	0.007
55.025	0.005
55.03	0.001
55.035	-0.034
55.04	-0.013
55.045	-0.01
55.05	0.013
55.055	0.002
55.06	-0.017
55.065	0.001
55.07	0.008
55.075	0.019
55.08	0.026
55.085	0.006
55.09	-0.006
55.095	-0.007
55.1	-0.014
55.105	0.008
55.11	0
55.115	0.015
55.12	0.009
55.125	-0.029
55.13	-0.026
55.135	-0.011
55.14	0.012
55.145	0.014
55.15	0.001
55.155	-0.033
55.16	-0.005
55.165	0.031
55.17	0.016
55.175	0.005
55.18	-0.013
55.185	-0.008
55.19	-0.002
55.195	0.009
55.2	-0.01
55.205	-0.015
55.21	0.018
55.215	0.003
55.22	-0.019
55.225	-0.025
55.23	-0.022
55.235	-0.019
55.24	-0.016
55.245	-0.015
55.25	-0.032
55.255	-0.02
55.26	-0.003
55.265	0.001
55.27	0.02
55.275	0.009
55.28	-0.007
55.285	0.015
55.29	0.026
55.295	0.031
55.3	0.045
55.305	0.052
55.31	0.029
55.315	-0.001
55.32	0.013
55.325	0.02
55.33	-0.003
55.335	-0.01
55.34	-0.006
55.345	-0.007
55.35	0.003
55.355	0.01
55.36	-0.01
55.365	-0.018
55.37	-0.004
55.375	-0.006
55.38	-0.023
55.385	-0.029
55.39	-0.02
55.395	-0.006
55.4	-0.002
55.405	-0.007
55.41	-0.007
55.415	-0.007
55.42	0.001
55.425	0.01
55.43	0.011
55.435	0.015
55.44	0.018
55.445	0.029
55.45	0.032
55.455	0.011
55.46	0.008
55.465	0.019
55.47	0.002
55.475	-0.013
55.48	-0.026
55.485	-0.046
55.49	-0.032
55.495	-0.011
55.5	-0.005
55.505	0.001
55.51	0.008
55.515	0.011
55.52	0.007
55.525	0.006
55.53	-0.019
55.535	-0.045
55.54	-0.015
55.545	0.003
55.55	-0.021
55.555	-0.015
55.56	-0.005
55.565	-0.009
55.57	0.016
55.575	0.028
55.58	0.017
55.585	-0.003
55.59	-0.012
55.595	0.006
55.6	0.001
55.605	-0.007
55.61	-0.012
55.615	-0.024
55.62	0.006
55.625	0.022
55.63	0
55.635	0.007
55.64	0.017
55.645	0.01
55.65	0.014
55.655	0.01
55.66	-0.003
55.665	0.004
55.67	-0.002
55.675	-0.008
55.68	-0.001
55.685	0.009
55.69	0.023
55.695	0.008
55.7	0.005
55.705	0.009
55.71	-0.008
55.715	0.002
55.72	-0.002
55.725	-0.032
55.73	-0.028
55.735	-0.005
55.74	-0.013
55.745	-0.018
55.75	0.002
55.755	0.015
55.76	0.013
55.765	0.019
55.77	0.011
55.775	-0.013
55.78	-0.004
55.785	0.006
55.79	-0.001
55.795	0.006
55.8	0.006
55.805	-0.011
55.81	-0.01
55.815	-0.002
55.82	-0.033
55.825	-0.026
55.83	0.009
55.835	-0.029
55.84	-0.069
55.845	-0.038
55.85	0.013
55.855	0.028
55.86	-0.007
55.865	-0.03
55.87	0.012
55.875	0.052
55.88	0.03
55.885	0.007
55.89	-0.01
55.895	0.006
55.9	0.06
55.905	0.048
55.91	-0.008
55.915	-0.025
55.92	-0.007
55.925	0.009
55.93	0.001
55.935	0.002
55.94	0.02
55.945	0.021
55.95	0.011
55.955	-0.004
55.96	-0.015
55.965	-0.022
55.97	-0.028
55.975	-0.013
55.98	-0.008
55.985	-0.014
55.99	-0.011
55.995	0.002
56	0.02
56.005	0.019
56.01	0.019
56.015	-0.001
56.02	-0.01
56.025	0.011
56.03	0.017
56.035	0.008
56.04	-0.02
56.045	-0.021
56.05	0.01
56.055	0.013
56.06	0.008
56.065	0.004
56.07	0.002
56.075	-0.004
56.08	-0.007
56.085	0.014
56.09	0.006
56.095	-0.023
56.1	-0.019
56.105	-0.005
56.11	-0.016
56.115	-0.024
56.12	-0.005
56.125	0.017
56.13	0.016
56.135	-0.009
56.14	-0.015
56.145	-0.007
56.15	-0.014
56.155	-0.025
56.16	-0.021
56.165	0
56.17	0.015
56.175	0.003
56.18	-0.014
56.185	-0.005
56.19	0.013
56.195	0.026
56.2	0.023
56.205	0.018
56.21	0
56.215	-0.019
56.22	0.001
56.225	0.013
56.23	0.014
56.235	0.028
56.24	0.023
56.245	-0.001
56.25	0.005
56.255	0.019
56.26	0.007
56.265	0.001
56.27	-0.01
56.275	-0.018
56.28	-0.024
56.285	-0.027
56.29	-0.008
56.295	0.002
56.3	0.013
56.305	0.018
56.31	0.011
56.315	0.016
56.32	0.021
56.325	0
56.33	-0.01
56.335	0.016
56.34	0.018
56.345	0.006
56.35	-0.016
56.355	-0.02
56.36	-0.003
56.365	-0.019
56.37	-0.018
56.375	-0.008
56.38	-0.014
56.385	-0.009
56.39	-0.005
56.395	-0.004
56.4	0.011
56.405	0.015
56.41	-0.004
56.415	-0.018
56.42	-0.007
56.425	-0.008
56.43	-0.032
56.435	-0.019
56.44	-0.01
56.445	-0.015
56.45	0.004
56.455	0.026
56.46	0.023
56.465	0.012
56.47	0.014
56.475	0.006
56.48	0.017
56.485	0.025
56.49	0.002
56.495	-0.01
56.5	-0.014
56.505	0.005
56.51	0.012
56.515	0
56.52	0.016
56.525	0.007
56.53	-0.009
56.535	0.002
56.54	0.011
56.545	-0.002
56.55	-0.013
56.555	0.008
56.56	0.005
56.565	-0.023
56.57	-0.026
56.575	-0.005
56.58	0.009
56.585	0.008
56.59	0.01
56.595	0.002
56.6	-0.003
56.605	0
56.61	-0.014
56.615	-0.027
56.62	-0.005
56.625	0.02
56.63	0.016
56.635	0.013
56.64	0.012
56.645	-0.001
